date,stocks,1d,3d,5d,10d
2025-12-11,"600151,002565,601399",7.73,7.18,11.96,7.64
2025-12-12,"600151,300102,601399",2.48,1.91,7.04,-0.81
2025-12-15,"301183,603601,300751",-1.2,2.52,4.8,17.75
2025-12-16,"600693,002565,001208",-4.92,-3.8,-7.55,-0.81
2025-12-17,"003031,603601,002149",4.17,11.24,20.31,37.22
2025-12-18,"002565,603601,600693",4.15,3.84,18.95,20.63
2025-12-19,"603601,002565,688102",-1.23,-1.58,10.05,17.68
2025-12-22,"688270,001208,600693",-3.33,11.82,8.92,17.94
2025-12-23,"600693,603601,001208",8.63,21.57,11.09,26.32
2025-12-24,"002149,002703,603601",8.48,11.35,9.12,26.16
2025-12-25,"603601,001208,002149",1.6,-1.92,-0.05,13.29
2025-12-26,"002361,002703,301123",0.78,-2.35,3.35,7.3
2025-12-29,"002361,301005,002149",-5.93,1.29,5.23,23.88
2025-12-30,"301123,002361,002703",-0.84,2.13,6.73,5.31
2025-12-31,"002361,300900,300136",-1.22,4.61,12.45,5.86
2026-01-05,"002361,301005,600118",6.27,8.25,21.34,14.67
2026-01-06,"002361,600783,301005",0.65,13.26,25.06,1.99
2026-01-07,"600783,600118,300900",4.77,12.83,6.41,-13.33
2026-01-08,"300136,300887,601698",0.69,2.94,-4.6,-4.29
2026-01-09,"601698,300136,688523",13.65,1.1,-9.21,5.61
2026-01-12,"688523,601698,300058",-9.52,-18.34,-19.27,-13.95
2026-01-13,"688258,002465,600783",6.52,-9.68,-20.03,-15.49
2026-01-14,"301171,688365,688031",-13.72,-14.5,-18.36,-15.62
2026-01-15,"300058,002195,300170",-8.1,-10.87,-8.8,-0.33
2026-01-16,"688258,688031,300342",2.28,-0.21,16.79,5.97
2026-01-19,"688031,301171,300342",-6.2,-9.58,-8.25,-6.94
2026-01-20,"002131,300063,301171",-4.3,-2.17,-6.26,3.96
2026-01-21,"688691,300842,301348",-0.26,6.66,7.9,-0.53
2026-01-22,"301348,300342,300842",9.92,4.34,-2.0,-4.54
2026-01-23,"301348,300842,603061",-4.83,0.6,-2.99,0.17
