date,equity,cash,position_value
2025-09-10,1000000.0000000001,800039.9818500001,199960.01815000002
2025-09-11,1002616.8477500002,600143.5928500001,402473.2549
2025-09-12,995029.6351900001,400215.0106500001,594814.62454
2025-09-15,996818.70966,400337.04365,596481.66601
2025-09-16,984202.48781,385738.80788999994,598463.67992
2025-09-17,988137.9836399998,381560.3092999998,606577.67434
2025-09-18,996460.37411,181631.35359999983,814829.0205100002
2025-09-19,982146.2381699999,354.2396499998067,981791.9985200001
2025-09-22,1000330.4057999998,416448.26614999986,583882.13965
2025-09-23,999987.6451999998,413996.0837699998,585991.56143
2025-09-24,1009370.1062999999,400658.6333799997,608711.4729200001
2025-09-25,990642.8859799996,200871.25461999973,789771.6313599999
2025-09-26,970007.1614799999,1061.674619999736,968945.4868600002
2025-09-29,1038836.9968999997,412285.0485399997,626551.94836
2025-09-30,1064880.8285399997,423489.76853999967,641391.0599999999
2025-10-09,1061118.2885399996,861337.9985399996,199780.29000000004
2025-10-10,1053163.1585399997,661558.2185399997,391604.94
2025-10-13,1043162.1185399996,461662.9785399997,581499.1399999999
2025-10-14,1034098.0385399996,438842.3385399996,595255.7
2025-10-15,1033643.8185399995,435463.9985399996,598179.82
2025-10-16,1047508.3585399995,235577.33853999962,811931.0199999999
2025-10-17,1044538.1885399997,35643.81853999963,1008894.37
2025-10-20,1034705.3785399997,435222.5285399996,599482.8500000001
2025-10-21,1046600.4285399996,430101.2185399997,616499.21
2025-10-22,1049476.2085399996,448334.7285399996,601141.48
2025-10-23,1034207.2585399995,248360.83853999956,785846.4199999999
2025-10-24,1018465.4885399994,48385.610139999575,970079.8783999998
2025-10-27,1042806.4397399997,425015.4837399997,617790.956
2025-10-28,1053651.4213399997,439340.7437399997,614310.6775999999
2025-10-29,1057713.4497399996,454159.42173999967,603554.0279999999
2025-10-30,1060621.5801399997,254430.73013999965,806190.85
2025-10-31,999195.2701399995,54636.99613999965,944558.2739999999
2025-11-03,1027088.3733399997,432261.0060399997,594827.3673
2025-11-04,1027867.2028399998,425687.05963999976,602180.1432
2025-11-05,1036188.1908399996,430382.6828399997,605805.5079999999
2025-11-06,1044744.6573399995,230783.00283999968,813961.6544999998
2025-11-07,1037194.0183399997,30833.422839999665,1006360.5955
2025-11-10,1044907.7213399997,447383.96133999963,597523.76
2025-11-11,1054025.8413399998,444986.9813399996,609038.8600000001
2025-11-12,1025101.8113399995,444733.9213399995,580367.89
2025-11-13,1045838.3513399995,244777.6713399995,801060.6799999999
2025-11-14,1041564.4413399996,44890.20133999952,996674.24
2025-11-17,1092783.0113399995,468149.13133999944,624633.88
2025-11-18,1071275.2413399997,465140.4713399996,606134.77
2025-11-19,1091737.6713399994,486661.22133999947,605076.4499999998
2025-11-20,1066476.1513399996,286700.6013399995,779775.5500000002
2025-11-21,979873.0613399997,86767.20133999953,893105.8600000001
2025-11-24,959276.6413399994,396619.64133999945,562657.0
2025-11-25,972514.0113399995,373420.74133999954,599093.2699999999
2025-11-26,966356.0313399995,366408.51133999944,599947.52
2025-11-27,963499.7013399992,166551.88133999944,796947.8199999998
2025-11-28,942443.2613399995,274.38133999943966,942168.8800000001
2025-12-01,932972.2213399993,379803.6613399993,553168.56
2025-12-02,926575.7613399993,373986.2547899992,552589.50655
2025-12-03,899662.6380899993,328506.76478999923,571155.8733000001
2025-12-04,909463.2574399991,128554.37478999922,780908.8826499999
2025-12-05,971637.1348399996,87.51478999921528,971549.6200500004
2025-12-08,1031157.4977399992,473790.02773999923,557367.47
2025-12-09,1036097.6677399995,496854.9277399993,539242.7400000001
2025-12-10,1035988.4277399994,440441.1977399993,595547.2300000001
2025-12-11,1025019.8377399992,240535.11773999923,784484.72
2025-12-12,1053089.2077399993,40650.55773999924,1012438.6500000001
2025-12-15,1050687.9677399993,433898.4877399992,616789.48
2025-12-16,1026691.1477399992,439214.7577399992,587476.39
2025-12-17,1050169.2377399993,446098.61773999926,604070.62
2025-12-18,1055798.2577399993,246195.7913649993,809602.466375
2025-12-19,1065759.0934249992,46280.12136499933,1019478.97206
2025-12-22,1078486.8337019992,469570.6513649992,608916.182337
2025-12-23,1071795.6841499992,479400.66414999915,592395.02
2025-12-24,1094977.9041499991,494431.6741499992,600546.23
2025-12-25,1135361.614149999,294575.5741499992,840786.0399999999
2025-12-26,1126212.1941499992,94621.13414999918,1031591.06
2025-12-29,1109721.7541499992,521426.7741499992,588294.98
2025-12-30,1096100.4141499994,509048.4041499993,587052.0100000001
2025-12-31,1125445.1641499994,512277.0341499994,613168.13
2026-01-05,1118894.4041499994,918990.8041499993,199903.6
2026-01-06,1132119.0641499993,719200.3641499993,412918.69999999995
2026-01-07,1144014.7041499992,519325.9841499993,624688.72
2026-01-08,1185689.594149999,319364.07414999924,866325.5199999999
2026-01-09,1229206.4741499992,119525.68414999927,1109680.79
2026-01-12,1339392.5141499992,685592.9841499993,653799.53
2026-01-13,1287869.7041499994,714200.0041499994,573669.7000000001
2026-01-14,1282879.4341499992,700761.8941499994,582117.5399999999
2026-01-15,1235450.6441499994,500833.2441499994,734617.3999999999
2026-01-16,1189601.0341499993,301115.3141499994,888485.72
2026-01-19,1167759.9241499994,590910.8141499994,576849.11
2026-01-20,1140191.4241499994,569163.2841499993,571028.14
2026-01-21,1130945.624149999,554882.0241499993,576063.6
2026-01-22,1134018.6341499994,354942.82414999924,779075.81
2026-01-23,1179782.8341499993,155043.10414999927,1024739.7300000001
2026-01-26,1185213.8041499993,557707.5441499993,627506.2599999999
2026-01-27,1204461.4241499994,575276.7441499993,629184.6799999999
2026-01-28,1250241.6441499994,606559.2241499993,643682.42
2026-01-29,1284730.9141499996,406721.94414999936,878008.9700000002
2026-01-30,1226075.0141499992,206804.52414999937,1019270.4899999999
2026-02-02,1148080.7941499995,587588.2141499993,560492.5800000001
2026-02-03,1152556.1841499992,558861.6841499993,593694.5
2026-02-04,1150170.8841499994,556149.9941499993,594020.89
2026-02-05,1111586.0141499995,356195.51414999936,755390.5000000001
2026-02-06,1131925.2941499993,156311.61414999934,975613.6799999999
